,,,,,,,,,,,,,,,
Year\                        Month,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL year wise ,AVG per month all ps year wise,Avg/month/ps year wise
2014,55,45,52,46,52,56,58,71,56,40,36,59,626,52.1666666666667,0.0412384716732543
2015,133,46,45,30,62,57,51,55,56,52,50,51,688,57.3333333333333,0.0453227931488801
2016,123,127,111,118,168,149,178,198,1654,11135,12859,12274,39094,3257.83333333333,2.57536231884058
2017,11876,12188,16650,15198,18797,18647,16903,13140,16983,16468,16410,11862,185122,15426.8333333333,12.1951251646904
2018,10501,13343,16441,15299,19189,19344,20677,18423,19805,21105,19178,19179,212484,17707,13.997628458498
2019,17961,17576,22921,15251,18865,21385,20957,20539,16757,17158,17189,15694,222253,18521.0833333333,14.6411725955204
2020,17903,18297,17920,14129,18956,20768,20565,22450,21432,20762,17049,22835,233066,19422.1666666667,15.3534914361001
2021,21175,20082,23672,18320,17699,21950,23293,22747,23685,20472,23296,24754,261145,21762.0833333333,17.2032279314888
2022,21737,22482,26951,23449,26487,28245,28594,27524,26458,26333,30067,31147,319474,26622.8333333333,21.0457180500659
2023,26052,25503,29073,25771,29291,30231,30393,27257,26208,27270,24079,25714,326842,27236.8333333333,21.531093544137
2024,21841,22730,28348,22370,24297,28717,25756,26591,26518,27597,25819,28215,308799,25733.25,20.3424901185771
2025,25754,25619,30939,26674,30659,31618,30372,27040,25915,20941,29,5,275565,22963.75,18.153162055336
,,,,,,,,,,,,,,,
Total ,175111,178038,213123,176655,204522,221167,217797,206035,205527,209333,186061,191789,2385158,,
avg month wise(all PS 1265) for each year,14592.5833333333,14836.5,17760.25,14721.25,17043.5,18430.5833333333,18149.75,17169.5833333333,17127.25,17444.4166666667,15505.0833333333,15982.4166666667,198763.166666667,,
avg per month per  PS,11.5356389986825,11.7284584980237,14.0397233201581,11.6373517786561,13.4731225296443,14.5696310935441,14.347628458498,13.5727931488801,13.5393280632411,13.7900527009223,12.2569828722003,12.6343214756258,157.125032938076,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total ,149046,152201,181976,149787,173581,189287,187138,178671,177846,177165,173087,179400,2069185,,
avg per month ( all PS 1265),18630.75,19025.125,22747,18723.375,21697.625,23660.875,23392.25,22333.875,22230.75,22145.625,21635.875,22425,258648.125,,
avg per month per  PS,15.525625,15.8542708333333,18.9558333333333,15.6028125,18.0813541666667,19.7173958333333,19.4935416666667,18.6115625,18.525625,18.4546875,18.0298958333333,18.6875,215.540104166667,,
